order_id,order_date,region,category,customer_id,sales,quantity
CD-0058,2024-01-05,South,Furniture,C-0058,200.0,2
CD-0059,2024-01-07,South,Furniture,C-0059,200.0,2
CD-0060,2024-01-09,South,Furniture,C-0060,200.0,2
CD-0061,2024-01-01,South,Office Supplies,C-0061,200.0,2
CD-0062,2024-01-03,South,Office Supplies,C-0062,200.0,2
CD-0063,2024-01-05,South,Office Supplies,C-0063,200.0,2
CD-0064,2024-01-07,South,Office Supplies,C-0064,200.0,2
CD-0065,2024-01-09,South,Office Supplies,C-0065,200.0,2
CD-0066,2024-01-01,South,Technology,C-0066,200.0,2
CD-0067,2024-01-03,South,Technology,C-0067,200.0,2
CD-0068,2024-01-05,South,Technology,C-0068,200.0,2
CD-0069,2024-01-07,South,Technology,C-0069,200.0,2
CD-0070,2024-01-09,South,Technology,C-0070,200.0,2
CD-0071,2024-02-01,East,Furniture,C-0071,198.28,2
CD-0072,2024-02-03,East,Furniture,C-0072,197.05,2
CD-0073,2024-02-05,East,Furniture,C-0073,197.55,2
CD-0074,2024-02-07,East,Furniture,C-0074,197.45,2
CD-0075,2024-02-09,East,Furniture,C-0075,198.47,2
CD-0076,2024-02-01,East,Office Supplies,C-0076,198.35,2
CD-0077,2024-02-03,East,Office Supplies,C-0077,198.78,2
CD-0078,2024-02-05,East,Office Supplies,C-0078,197.17,2
CD-0079,2024-02-07,East,Office Supplies,C-0079,197.84,2
CD-0080,2024-02-09,East,Office Supplies,C-0080,197.06,2
CD-0081,2024-02-01,East,Technology,C-0081,197.44,2
CD-0082,2024-02-03,East,Technology,C-0082,198.01,2
CD-0083,2024-02-05,East,Technology,C-0083,197.05,2
CD-0084,2024-02-07,East,Technology,C-0084,197.4,2
CD-0085,2024-02-09,East,Technology,C-0085,198.3,2
CD-0086,2024-02-01,West,Furniture,C-0086,198.09,2
CD-0087,2024-02-03,West,Furniture,C-0087,197.44,2
CD-0088,2024-02-05,West,Furniture,C-0088,198.18,2
CD-0089,2024-02-07,West,Furniture,C-0089,198.62,2
CD-0090,2024-02-09,West,Furniture,C-0090,197.01,2
CD-0091,2024-02-01,West,Office Supplies,C-0091,40.0,2
CD-0092,2024-02-03,West,Office Supplies,C-0092,40.0,2
CD-0093,2024-02-05,West,Office Supplies,C-0093,40.0,2
CD-0094,2024-02-07,West,Office Supplies,C-0094,40.0,2
CD-0095,2024-02-09,West,Office Supplies,C-0095,40.0,2
CD-0096,2024-02-11,West,Office Supplies,C-0096,40.0,2
CD-0097,2024-02-13,West,Office Supplies,C-0097,40.0,2
CD-0098,2024-02-15,West,Office Supplies,C-0098,40.0,2
CD-0099,2024-02-17,West,Office Supplies,C-0099,40.0,2
CD-0100,2024-02-19,West,Office Supplies,C-0100,40.0,2
CD-0101,2024-02-21,West,Office Supplies,C-0101,40.0,2
CD-0102,2024-02-23,West,Office Supplies,C-0102,40.0,2
CD-0103,2024-02-25,West,Office Supplies,C-0103,40.0,2
CD-0104,2024-02-27,West,Office Supplies,C-0104,40.0,2
CD-0105,2024-02-29,West,Office Supplies,C-0105,40.0,2
CD-0106,2024-02-01,West,Technology,C-0106,198.61,2
CD-0107,2024-02-03,West,Technology,C-0107,198.4,2
CD-0108,2024-02-05,West,Technology,C-0108,197.68,2
CD-0109,2024-02-07,West,Technology,C-0109,197.31,2
CD-0110,2024-02-09,West,Technology,C-0110,198.91,2
CD-0111,2024-02-01,Central,Furniture,C-0111,197.67,2
CD-0112,2024-02-03,Central,Furniture,C-0112,197.19,2
CD-0113,2024-02-05,Central,Furniture,C-0113,197.19,2
CD-0114,2024-02-07,Central,Furniture,C-0114,198.69,2
CD-0115,2024-02-09,Central,Furniture,C-0115,198.21,2
CD-0116,2024-02-01,Central,Office Supplies,C-0116,198.61,2
CD-0117,2024-02-03,Central,Office Supplies,C-0117,198.46,2
CD-0118,2024-02-05,Central,Office Supplies,C-0118,198.07,2
CD-0119,2024-02-07,Central,Office Supplies,C-0119,198.95,2
CD-0120,2024-02-09,Central,Office Supplies,C-0120,197.76,2
CD-0121,2024-02-01,Central,Technology,C-0121,198.1,2
CD-0122,2024-02-03,Central,Technology,C-0122,198.66,2
CD-0123,2024-02-05,Central,Technology,C-0123,198.24,2
CD-0124,2024-02-07,Central,Technology,C-0124,198.72,2
CD-0125,2024-02-09,Central,Technology,C-0125,198.15,2
CD-0126,2024-02-01,South,Furniture,C-0126,198.41,2
CD-0127,2024-02-03,South,Furniture,C-0127,197.09,2
CD-0128,2024-02-05,South,Furniture,C-0128,197.46,2
CD-0129,2024-02-07,South,Furniture,C-0129,197.58,2
CD-0130,2024-02-09,South,Furniture,C-0130,197.16,2
CD-0131,2024-02-01,South,Office Supplies,C-0131,197.47,2
CD-0132,2024-02-03,South,Office Supplies,C-0132,197.2,2
CD-0133,2024-02-05,South,Office Supplies,C-0133,197.56,2
CD-0134,2024-02-07,South,Office Supplies,C-0134,198.27,2
CD-0135,2024-02-09,South,Office Supplies,C-0135,197.73,2
CD-0136,2024-02-01,South,Technology,C-0136,197.74,2
CD-0137,2024-02-03,South,Technology,C-0137,197.42,2
CD-0138,2024-02-05,South,Technology,C-0138,197.53,2
CD-0139,2024-02-07,South,Technology,C-0139,198.87,2
CD-0140,2024-02-09,South,Technology,C-0140,198.3,2
